Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Jul-22
REGENCY SUITES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,200",130 to 140,"1,400 to 1,500",Jul-22
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"6,300",80 to 90,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-22
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"4,650",120 to 130,"1,200 to 1,300",Jul-22
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,800",80 to 90,800 to 900,Jul-22
VENTANA,PASIR PANJANG HILL,05,Non-Landed Properties,2,"5,800",180 to 190,"2,000 to 2,100",Jul-22
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"5,000",60 to 70,600 to 700,Jul-22
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"3,500",50 to 60,500 to 600,Jul-22
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",80 to 90,800 to 900,Jul-22
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,800",50 to 60,600 to 700,Jul-22
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,900",70 to 80,800 to 900,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,580",40 to 50,500 to 600,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,200",50 to 60,600 to 700,Jul-22
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"9,500",190 to 200,"2,100 to 2,200",Jul-22
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Jul-22
SEASCAPE,COVE WAY,04,Non-Landed Properties,3,"12,000",210 to 220,"2,300 to 2,400",Jul-22
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"4,600",90 to 100,"1,000 to 1,100",Jul-22
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Jul-22
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,3,"4,600",140 to 150,"1,600 to 1,700",Jul-22
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,300",110 to 120,"1,100 to 1,200",Jul-22
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jul-22
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,100",50 to 60,600 to 700,Jul-22
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,500",140 to 150,"1,500 to 1,600",Jul-22
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"9,600",180 to 190,"2,000 to 2,100",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,500",40 to 50,500 to 600,Jul-22
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Jul-22
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,3,"6,500",90 to 100,"1,000 to 1,100",Jul-22
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,000",140 to 150,"1,500 to 1,600",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,200",60 to 70,600 to 700,Jul-22
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,1,"4,400",90 to 100,"1,000 to 1,100",Jul-22
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Jul-22
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jul-22
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Jul-22
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,800",60 to 70,600 to 700,Jul-22
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,200",110 to 120,"1,200 to 1,300",Jul-22
MARINA COLLECTION,COVE DRIVE,04,Non-Landed Properties,3,"7,600",170 to 180,"1,800 to 1,900",Jul-22
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,5,"22,000",450 to 460,"4,900 to 5,000",Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,600",50 to 60,600 to 700,Jul-22
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jul-22
THE ORIENT,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,400",50 to 60,500 to 600,Jul-22
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,3,"8,650",150 to 160,"1,600 to 1,700",Jul-22
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,300",70 to 80,700 to 800,Jul-22
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"2,600",30 to 40,300 to 400,Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Jul-22
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Jul-22
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,000",60 to 70,700 to 800,Jul-22
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,000",80 to 90,"900 to 1,000",Jul-22
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,500",130 to 140,"1,400 to 1,500",Jul-22
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,3,"4,000",130 to 140,"1,400 to 1,500",Jul-22
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Jul-22
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,000",80 to 90,800 to 900,Jul-22
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,3,"5,600",130 to 140,"1,400 to 1,500",Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jul-22
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,1,"2,700",50 to 60,500 to 600,Jul-22
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-22
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Jul-22
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,000",60 to 70,600 to 700,Jul-22
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,000",80 to 90,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"7,000",90 to 100,"1,000 to 1,100",Jul-22
NON-LANDED HOUSING DEVELOPMENT,ENG HOON STREET,03,Non-Landed Properties,NA,"5,700",90 to 100,"1,000 to 1,100",Jul-22
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"13,500",230 to 240,"2,400 to 2,500",Jul-22
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jul-22
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"5,300",70 to 80,700 to 800,Jul-22
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,800",60 to 70,600 to 700,Jul-22
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"2,500",30 to 40,300 to 400,Jul-22
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,1,"3,450",70 to 80,700 to 800,Jul-22
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Jul-22
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,4,"5,000",140 to 150,"1,500 to 1,600",Jul-22
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Jul-22
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"9,300",150 to 160,"1,600 to 1,700",Jul-22
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-22
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-22
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Jul-22
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,800",30 to 40,300 to 400,Jul-22
MENDON SPRING,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,500",90 to 100,"1,000 to 1,100",Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,600",60 to 70,600 to 700,Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"6,300",140 to 150,"1,500 to 1,600",Jul-22
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"7,800",110 to 120,"1,200 to 1,300",Jul-22
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,300",110 to 120,"1,200 to 1,300",Jul-22
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,700",60 to 70,600 to 700,Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-22
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"3,000",70 to 80,800 to 900,Jul-22
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,5,"6,500",220 to 230,"2,400 to 2,500",Jul-22
WESTPOINT CONDOMINIUM,PEPYS ROAD,05,Non-Landed Properties,5,"7,378",270 to 280,"2,900 to 3,000",Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,700",60 to 70,600 to 700,Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"6,800",100 to 110,"1,100 to 1,200",Jul-22
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"2,500",30 to 40,400 to 500,Jul-22
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"9,000",140 to 150,"1,600 to 1,700",Jul-22
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"5,200",130 to 140,"1,400 to 1,500",Jul-22
TERESA VILLE,LOWER DELTA ROAD,04,Non-Landed Properties,2,"4,300",120 to 130,"1,300 to 1,400",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,000",40 to 50,500 to 600,Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,100",50 to 60,600 to 700,Jul-22
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"2,800",50 to 60,600 to 700,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,500",80 to 90,800 to 900,Jul-22
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"3,300",130 to 140,"1,400 to 1,500",Jul-22
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"7,000",110 to 120,"1,100 to 1,200",Jul-22
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Jul-22
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Jul-22
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,500",100 to 110,"1,100 to 1,200",Jul-22
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,200",100 to 110,"1,100 to 1,200",Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"2,500",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,400",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,500",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jul-22
THE ORIENT,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Jul-22
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jul-22
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,1,"3,700",60 to 70,600 to 700,Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,500",50 to 60,600 to 700,Jul-22
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,200",50 to 60,600 to 700,Jul-22
MARINA COLLECTION,COVE DRIVE,04,Non-Landed Properties,4,"10,500",200 to 210,"2,100 to 2,200",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,000",90 to 100,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,200",80 to 90,800 to 900,Jul-22
TANJONG PAGAR COMPLEX,KEPPEL ROAD,02,Non-Landed Properties,3,"7,750",330 to 340,"3,600 to 3,700",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,600",40 to 50,500 to 600,Jul-22
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,200",50 to 60,600 to 700,Jul-22
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Jul-22
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,500",40 to 50,400 to 500,Jul-22
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-22
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"3,500",110 to 120,"1,200 to 1,300",Jul-22
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,2,"2,600",70 to 80,700 to 800,Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"7,000",150 to 160,"1,600 to 1,700",Jul-22
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,500",70 to 80,800 to 900,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,500",40 to 50,400 to 500,Jul-22
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jul-22
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"5,000",70 to 80,800 to 900,Jul-22
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"14,000",210 to 220,"2,300 to 2,400",Jul-22
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"5,400",70 to 80,700 to 800,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jul-22
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"2,700",110 to 120,"1,200 to 1,300",Jul-22
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"5,700",90 to 100,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,500",90 to 100,"1,000 to 1,100",Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"6,800",100 to 110,"1,100 to 1,200",Jul-22
TANJONG PAGAR COMPLEX,KEPPEL ROAD,02,Non-Landed Properties,2,"1,600",60 to 70,600 to 700,Jul-22
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,200",50 to 60,600 to 700,Jul-22
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"3,950",60 to 70,600 to 700,Jul-22
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-22
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"11,000",190 to 200,"2,000 to 2,100",Jul-22
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,500",40 to 50,400 to 500,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,200",60 to 70,600 to 700,Jul-22
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,1,"3,150",60 to 70,600 to 700,Jul-22
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,4,"14,500",160 to 170,"1,700 to 1,800",Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,4,"10,000",190 to 200,"2,000 to 2,100",Jul-22
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,000",130 to 140,"1,400 to 1,500",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",70 to 80,700 to 800,Jul-22
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,4,"6,600",180 to 190,"1,900 to 2,000",Jul-22
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,4,"6,500",140 to 150,"1,500 to 1,600",Jul-22
MOUNT FABER LODGE,MOUNT FABER ROAD,04,Non-Landed Properties,3,"6,600",220 to 230,"2,400 to 2,500",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,000",40 to 50,500 to 600,Jul-22
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"5,300",90 to 100,"900 to 1,000",Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"3,300",40 to 50,500 to 600,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,700",40 to 50,500 to 600,Jul-22
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,1,"6,500",50 to 60,600 to 700,Jul-22
WATERFRONT @ FABER,FABER WALK,05,Non-Landed Properties,3,"3,500",100 to 110,"1,000 to 1,100",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,300",60 to 70,600 to 700,Jul-22
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,400",110 to 120,"1,100 to 1,200",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,000",80 to 90,800 to 900,Jul-22
ISLAND VIEW,JALAN MAT JAMBOL,05,Non-Landed Properties,3,"9,500",330 to 340,"3,500 to 3,600",Jul-22
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"4,500",70 to 80,800 to 900,Jul-22
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Jul-22
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Jul-22
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"3,800",120 to 130,"1,200 to 1,300",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jul-22
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"11,700",340 to 350,"3,700 to 3,800",Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-22
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Jul-22
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"3,800",120 to 130,"1,300 to 1,400",Jul-22
NEWEST,WEST COAST DRIVE,05,Non-Landed Properties,1,"2,500",40 to 50,500 to 600,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,800",50 to 60,600 to 700,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"3,400",40 to 50,500 to 600,Jul-22
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,NA,"4,200",50 to 60,600 to 700,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jul-22
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,350",70 to 80,700 to 800,Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"6,500",90 to 100,"900 to 1,000",Jul-22
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"5,500",80 to 90,800 to 900,Jul-22
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,4,"4,700",150 to 160,"1,600 to 1,700",Jul-22
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jul-22
NON-LANDED HOUSING DEVELOPMENT,OUTRAM ROAD,03,Non-Landed Properties,NA,"3,600",30 to 40,300 to 400,Jul-22
NON-LANDED HOUSING DEVELOPMENT,OUTRAM ROAD,03,Non-Landed Properties,NA,"4,000",70 to 80,800 to 900,Jul-22
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,4,"8,300",220 to 230,"2,400 to 2,500",Jul-22
HARVEST MANSIONS,HAVELOCK ROAD,03,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Jul-22
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,150",60 to 70,700 to 800,Jul-22
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,3,"3,450",100 to 110,"1,100 to 1,200",Jul-22
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"9,500",170 to 180,"1,800 to 1,900",Jul-22
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,2,"6,500",120 to 130,"1,200 to 1,300",Jul-22
THE SPECTRUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"3,000",110 to 120,"1,100 to 1,200",Jul-22
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"2,500",30 to 40,300 to 400,Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,500",80 to 90,"900 to 1,000",Jul-22
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,3,"4,400",110 to 120,"1,200 to 1,300",Jul-22
WESTPOINT CONDOMINIUM,PEPYS ROAD,05,Non-Landed Properties,4,"6,307",210 to 220,"2,300 to 2,400",Jul-22
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,100",80 to 90,800 to 900,Jul-22
ALESSANDREA,ALEXANDRA ROAD,03,Non-Landed Properties,3,"4,500",100 to 110,"1,000 to 1,100",Jul-22
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Jul-22
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Jul-22
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"4,000",130 to 140,"1,400 to 1,500",Jul-22
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jul-22
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jul-22
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,300",100 to 110,"1,000 to 1,100",Jul-22
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,NA,"4,300",60 to 70,600 to 700,Jul-22
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"8,000",180 to 190,"2,000 to 2,100",Jul-22
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,4,"6,700",120 to 130,"1,300 to 1,400",Jul-22
THE MAYLEA,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Jul-22
